time,x,vx,y,vy,z,vz,phi,p,theta,q,psi,r,U1,U2,U3,U4,x_d,vx_d,y_d,vy_d,z_d,vz_d,psi_d,psi_dot_d,Ux,Uy,phi_d,theta_d
4.0500,-1.9013,-2.1466,5.2047,-0.3783,34.2005,-0.3549,0.0147,0.3077,-0.1133,-0.0288,-2.9477,0.5177,4.8645,0.0012,0.0039,-0.0004,-2.1937,-2.2465,4.4931,-1.0969,33.9875,-0.2500,-2.6874,0.5000,-0.0534,-0.1760,-0.1351,0.1267
4.0600,-1.9229,-2.1572,5.2009,-0.3818,34.1969,-0.3535,0.0178,0.3090,-0.1136,-0.0234,-2.9425,0.5175,4.8644,0.0012,0.0038,-0.0004,-2.2162,-2.2410,4.4820,-1.1081,33.9850,-0.2500,-2.6824,0.5000,-0.0496,-0.1778,-0.1379,0.1248
4.0700,-1.9446,-2.1676,5.1971,-0.3857,34.1934,-0.3520,0.0209,0.3101,-0.1137,-0.0181,-2.9374,0.5173,4.8644,0.0011,0.0037,-0.0004,-2.2386,-2.2354,4.4709,-1.1193,33.9825,-0.2500,-2.6774,0.5000,-0.0457,-0.1796,-0.1406,0.1228
4.0800,-1.9664,-2.1780,5.1932,-0.3899,34.1899,-0.3506,0.0240,0.3112,-0.1139,-0.0129,-2.9322,0.5171,4.8644,0.0010,0.0036,-0.0004,-2.2609,-2.2298,4.4596,-1.1304,33.9800,-0.2500,-2.6724,0.5000,-0.0418,-0.1814,-0.1434,0.1208
4.0900,-1.9883,-2.1883,5.1892,-0.3945,34.1864,-0.3491,0.0271,0.3122,-0.1139,-0.0078,-2.9270,0.5169,4.8644,0.0009,0.0035,-0.0004,-2.2832,-2.2241,4.4483,-1.1416,33.9775,-0.2500,-2.6674,0.5000,-0.0379,-0.1832,-0.1462,0.1189
4.1000,-2.0102,-2.1986,5.1852,-0.3994,34.1829,-0.3476,0.0303,0.3130,-0.1140,-0.0028,-2.9219,0.5167,4.8645,0.0008,0.0034,-0.0004,-2.3054,-2.2184,4.4368,-1.1527,33.9750,-0.2500,-2.6624,0.5000,-0.0340,-0.1849,-0.1489,0.1169
4.1100,-2.0323,-2.2087,5.1812,-0.4047,34.1795,-0.3461,0.0334,0.3137,-0.1140,0.0021,-2.9167,0.5165,4.8646,0.0007,0.0033,-0.0004,-2.3275,-2.2126,4.4252,-1.1638,33.9725,-0.2500,-2.6574,0.5000,-0.0300,-0.1865,-0.1517,0.1150
4.1200,-2.0545,-2.2188,5.1771,-0.4104,34.1760,-0.3446,0.0366,0.3143,-0.1139,0.0069,-2.9115,0.5163,4.8647,0.0006,0.0032,-0.0004,-2.3496,-2.2068,4.4135,-1.1748,33.9700,-0.2500,-2.6524,0.5000,-0.0261,-0.1882,-0.1545,0.1131
4.1300,-2.0768,-2.2287,5.1729,-0.4163,34.1726,-0.3431,0.0397,0.3148,-0.1138,0.0117,-2.9064,0.5161,4.8649,0.0005,0.0031,-0.0004,-2.3717,-2.2009,4.4017,-1.1858,33.9675,-0.2500,-2.6474,0.5000,-0.0222,-0.1898,-0.1572,0.1112
4.1400,-2.0992,-2.2386,5.1687,-0.4227,34.1692,-0.3416,0.0429,0.3152,-0.1136,0.0163,-2.9012,0.5159,4.8651,0.0004,0.0030,-0.0004,-2.3936,-2.1949,4.3898,-1.1968,33.9650,-0.2500,-2.6424,0.5000,-0.0183,-0.1914,-0.1600,0.1093
4.1500,-2.1217,-2.2483,5.1644,-0.4293,34.1658,-0.3401,0.0460,0.3154,-0.1134,0.0209,-2.8961,0.5158,4.8654,0.0003,0.0029,-0.0004,-2.4156,-2.1889,4.3778,-1.2078,33.9625,-0.2500,-2.6374,0.5000,-0.0143,-0.1930,-0.1627,0.1074
4.1600,-2.1442,-2.2579,5.1600,-0.4364,34.1624,-0.3386,0.0492,0.3156,-0.1131,0.0254,-2.8909,0.5156,4.8656,0.0002,0.0028,-0.0004,-2.4374,-2.1828,4.3657,-1.2187,33.9600,-0.2500,-2.6324,0.5000,-0.0104,-0.1945,-0.1655,0.1055
4.1700,-2.1669,-2.2673,5.1556,-0.4437,34.1590,-0.3371,0.0523,0.3156,-0.1128,0.0297,-2.8858,0.5154,4.8660,0.0002,0.0027,-0.0004,-2.4592,-2.1767,4.3534,-1.2296,33.9575,-0.2500,-2.6274,0.5000,-0.0065,-0.1960,-0.1682,0.1037
4.1800,-2.1897,-2.2766,5.1511,-0.4514,34.1557,-0.3356,0.0555,0.3155,-0.1125,0.0340,-2.8806,0.5152,4.8663,0.0001,0.0027,-0.0004,-2.4809,-2.1705,4.3411,-1.2405,33.9550,-0.2500,-2.6224,0.5000,-0.0026,-0.1974,-0.1710,0.1018
4.1900,-2.2125,-2.2858,5.1465,-0.4594,34.1523,-0.3340,0.0586,0.3153,-0.1121,0.0382,-2.8755,0.5151,4.8667,-0.0000,0.0026,-0.0003,-2.5026,-2.1643,4.3286,-1.2513,33.9525,-0.2500,-2.6174,0.5000,0.0013,-0.1988,-0.1737,0.1000
4.2000,-2.2355,-2.2948,5.1418,-0.4678,34.1490,-0.3325,0.0618,0.3150,-0.1117,0.0423,-2.8703,0.5149,4.8671,-0.0001,0.0025,-0.0003,-2.5242,-2.1580,4.3160,-1.2621,33.9500,-0.2500,-2.6124,0.5000,0.0052,-0.2002,-0.1764,0.0983
4.2100,-2.2585,-2.3036,5.1370,-0.4765,34.1457,-0.3310,0.0649,0.3145,-0.1112,0.0463,-2.8652,0.5147,4.8676,-0.0002,0.0024,-0.0003,-2.5458,-2.1517,4.3034,-1.2729,33.9475,-0.2500,-2.6074,0.5000,0.0091,-0.2016,-0.1791,0.0965
4.2200,-2.2817,-2.3122,5.1322,-0.4855,34.1424,-0.3294,0.0681,0.3140,-0.1107,0.0502,-2.8600,0.5145,4.8681,-0.0003,0.0023,-0.0003,-2.5673,-2.1453,4.2906,-1.2836,33.9450,-0.2500,-2.6024,0.5000,0.0130,-0.2029,-0.1818,0.0948
4.2300,-2.3049,-2.3207,5.1272,-0.4949,34.1391,-0.3279,0.0712,0.3133,-0.1102,0.0540,-2.8549,0.5144,4.8686,-0.0004,0.0022,-0.0003,-2.5887,-2.1388,4.2777,-1.2943,33.9425,-0.2500,-2.5974,0.5000,0.0168,-0.2042,-0.1845,0.0930
4.2400,-2.3281,-2.3290,5.1222,-0.5045,34.1358,-0.3263,0.0743,0.3126,-0.1096,0.0578,-2.8497,0.5142,4.8692,-0.0005,0.0021,-0.0003,-2.6100,-2.1324,4.2647,-1.3050,33.9400,-0.2500,-2.5924,0.5000,0.0206,-0.2054,-0.1871,0.0914
4.2500,-2.3515,-2.3371,5.1170,-0.5145,34.1326,-0.3248,0.0774,0.3117,-0.1090,0.0614,-2.8446,0.5141,4.8698,-0.0006,0.0020,-0.0003,-2.6313,-2.1258,4.2516,-1.3157,33.9375,-0.2500,-2.5874,0.5000,0.0245,-0.2067,-0.1897,0.0897
4.2600,-2.3750,-2.3450,5.1118,-0.5248,34.1294,-0.3232,0.0805,0.3107,-0.1083,0.0649,-2.8394,0.5139,4.8705,-0.0007,0.0019,-0.0003,-2.6526,-2.1192,4.2384,-1.3263,33.9350,-0.2500,-2.5824,0.5000,0.0282,-0.2078,-0.1923,0.0881
4.2700,-2.3985,-2.3527,5.1064,-0.5354,34.1261,-0.3217,0.0836,0.3096,-0.1077,0.0684,-2.8343,0.5137,4.8712,-0.0008,0.0019,-0.0003,-2.6737,-2.1125,4.2251,-1.3369,33.9325,-0.2500,-2.5774,0.5000,0.0320,-0.2090,-0.1949,0.0865
4.2800,-2.4221,-2.3602,5.1010,-0.5463,34.1229,-0.3201,0.0867,0.3084,-0.1069,0.0718,-2.8292,0.5136,4.8719,-0.0009,0.0018,-0.0003,-2.6948,-2.1058,4.2117,-1.3474,33.9300,-0.2500,-2.5724,0.5000,0.0357,-0.2101,-0.1975,0.0849
4.2900,-2.4458,-2.3674,5.0954,-0.5575,34.1198,-0.3185,0.0898,0.3071,-0.1062,0.0750,-2.8240,0.5134,4.8727,-0.0009,0.0017,-0.0003,-2.7158,-2.0991,4.1981,-1.3579,33.9275,-0.2500,-2.5674,0.5000,0.0394,-0.2112,-0.2000,0.0833
4.3000,-2.4695,-2.3745,5.0897,-0.5691,34.1166,-0.3170,0.0929,0.3057,-0.1054,0.0782,-2.8189,0.5133,4.8735,-0.0010,0.0016,-0.0003,-2.7368,-2.0922,4.1845,-1.3684,33.9250,-0.2500,-2.5624,0.5000,0.0431,-0.2122,-0.2026,0.0818
4.3100,-2.4933,-2.3813,5.0839,-0.5809,34.1134,-0.3154,0.0959,0.3042,-0.1046,0.0813,-2.8138,0.5131,4.8744,-0.0011,0.0015,-0.0003,-2.7577,-2.0854,4.1708,-1.3788,33.9225,-0.2500,-2.5574,0.5000,0.0468,-0.2132,-0.2051,0.0803
4.3200,-2.5172,-2.3879,5.0780,-0.5930,34.1103,-0.3138,0.0989,0.3025,-0.1038,0.0843,-2.8086,0.5130,4.8753,-0.0012,0.0014,-0.0003,-2.7785,-2.0785,4.1569,-1.3892,33.9200,-0.2500,-2.5524,0.5000,0.0504,-0.2142,-0.2075,0.0789
4.3300,-2.5411,-2.3942,5.0719,-0.6054,34.1072,-0.3122,0.1019,0.3008,-0.1029,0.0872,-2.8035,0.5128,4.8762,-0.0013,0.0014,-0.0003,-2.7992,-2.0715,4.1430,-1.3996,33.9175,-0.2500,-2.5474,0.5000,0.0540,-0.2151,-0.2100,0.0775
4.3400,-2.5652,-2.4003,5.0657,-0.6180,34.1041,-0.3107,0.1049,0.2990,-0.1020,0.0900,-2.7984,0.5127,4.8772,-0.0014,0.0013,-0.0003,-2.8199,-2.0645,4.1289,-1.4100,33.9150,-0.2500,-2.5424,0.5000,0.0575,-0.2160,-0.2124,0.0761
4.3500,-2.5892,-2.4062,5.0594,-0.6310,34.1010,-0.3091,0.1079,0.2971,-0.1011,0.0927,-2.7933,0.5125,4.8782,-0.0015,0.0012,-0.0003,-2.8405,-2.0574,4.1148,-1.4203,33.9125,-0.2500,-2.5374,0.5000,0.0610,-0.2168,-0.2147,0.0748
4.3600,-2.6133,-2.4118,5.0530,-0.6442,34.0979,-0.3075,0.1108,0.2950,-0.1001,0.0954,-2.7881,0.5124,4.8792,-0.0016,0.0011,-0.0003,-2.8611,-2.0503,4.1005,-1.4305,33.9100,-0.2500,-2.5324,0.5000,0.0645,-0.2176,-0.2171,0.0735
4.3700,-2.6375,-2.4172,5.0464,-0.6577,34.0948,-0.3059,0.1138,0.2929,-0.0991,0.0979,-2.7830,0.5123,4.8803,-0.0016,0.0010,-0.0003,-2.8815,-2.0431,4.0862,-1.4408,33.9075,-0.2500,-2.5274,0.5000,0.0679,-0.2184,-0.2194,0.0722
4.3800,-2.6617,-2.4223,5.0397,-0.6714,34.0918,-0.3043,0.1167,0.2907,-0.0981,0.1004,-2.7779,0.5121,4.8814,-0.0017,0.0010,-0.0003,-2.9019,-2.0359,4.0717,-1.4510,33.9050,-0.2500,-2.5224,0.5000,0.0713,-0.2192,-0.2217,0.0709
4.3900,-2.6860,-2.4271,5.0328,-0.6854,34.0888,-0.3028,0.1196,0.2884,-0.0971,0.1027,-2.7728,0.5120,4.8825,-0.0018,0.0009,-0.0003,-2.9223,-2.0286,4.0571,-1.4611,33.9025,-0.2500,-2.5174,0.5000,0.0746,-0.2199,-0.2239,0.0697
4.4000,-2.7103,-2.4317,5.0258,-0.6997,34.0858,-0.3012,0.1224,0.2860,-0.0960,0.1050,-2.7677,0.5118,4.8837,-0.0019,0.0008,-0.0003,-2.9425,-2.0212,4.0425,-1.4713,33.9000,-0.2500,-2.5124,0.5000,0.0779,-0.2205,-0.2261,0.0686
4.4100,-2.7347,-2.4360,5.0187,-0.7142,34.0828,-0.2996,0.1253,0.2835,-0.0950,0.1072,-2.7625,0.5117,4.8849,-0.0020,0.0007,-0.0003,-2.9627,-2.0139,4.0277,-1.4813,33.8975,-0.2500,-2.5074,0.5000,0.0812,-0.2212,-0.2282,0.0674
4.4200,-2.7591,-2.4400,5.0114,-0.7289,34.0798,-0.2980,0.1281,0.2809,-0.0939,0.1093,-2.7574,0.5116,4.8862,-0.0020,0.0007,-0.0003,-2.9828,-2.0064,4.0129,-1.4914,33.8950,-0.2500,-2.5024,0.5000,0.0844,-0.2218,-0.2304,0.0664
4.4300,-2.7835,-2.4437,5.0040,-0.7439,34.0768,-0.2964,0.1308,0.2782,-0.0928,0.1113,-2.7523,0.5114,4.8874,-0.0021,0.0006,-0.0003,-3.0028,-1.9989,3.9979,-1.5014,33.8925,-0.2500,-2.4974,0.5000,0.0876,-0.2223,-0.2324,0.0653
4.4400,-2.8080,-2.4472,4.9964,-0.7591,34.0739,-0.2949,0.1336,0.2754,-0.0916,0.1133,-2.7472,0.5113,4.8888,-0.0022,0.0005,-0.0003,-3.0228,-1.9914,3.9828,-1.5114,33.8900,-0.2500,-2.4924,0.5000,0.0907,-0.2229,-0.2345,0.0643
4.4500,-2.8325,-2.4504,4.9886,-0.7746,34.0709,-0.2933,0.1363,0.2726,-0.0905,0.1151,-2.7421,0.5112,4.8901,-0.0023,0.0004,-0.0003,-3.0426,-1.9838,3.9677,-1.5213,33.8875,-0.2500,-2.4874,0.5000,0.0937,-0.2233,-0.2365,0.0633
4.4600,-2.8570,-2.4533,4.9807,-0.7902,34.0680,-0.2917,0.1390,0.2697,-0.0893,0.1169,-2.7370,0.5110,4.8915,-0.0023,0.0004,-0.0003,-3.0624,-1.9762,3.9524,-1.5312,33.8850,-0.2500,-2.4824,0.5000,0.0968,-0.2238,-0.2384,0.0624
4.4700,-2.8816,-2.4559,4.9727,-0.8061,34.0651,-0.2901,0.1417,0.2667,-0.0881,0.1186,-2.7319,0.5109,4.8928,-0.0024,0.0003,-0.0003,-3.0822,-1.9685,3.9370,-1.5411,33.8825,-0.2500,-2.4774,0.5000,0.0997,-0.2242,-0.2403,0.0615
4.4800,-2.9062,-2.4582,4.9644,-0.8222,34.0622,-0.2886,0.1443,0.2636,-0.0869,0.1202,-2.7268,0.5108,4.8943,-0.0025,0.0002,-0.0002,-3.1018,-1.9608,3.9216,-1.5509,33.8800,-0.2500,-2.4724,0.5000,0.1026,-0.2246,-0.2422,0.0606
4.4900,-2.9308,-2.4602,4.9561,-0.8384,34.0594,-0.2870,0.1469,0.2604,-0.0857,0.1217,-2.7217,0.5107,4.8957,-0.0025,0.0002,-0.0002,-3.1214,-1.9530,3.9060,-1.5607,33.8775,-0.2500,-2.4674,0.5000,0.1055,-0.2250,-0.2440,0.0598
4.5000,-2.9554,-2.4620,4.9475,-0.8549,34.0565,-0.2854,0.1495,0.2572,-0.0845,0.1232,-2.7165,0.5106,4.8972,-0.0026,0.0001,-0.0002,-3.1409,-1.9452,3.8904,-1.5704,33.8750,-0.2500,-2.4624,0.5000,0.1083,-0.2253,-0.2458,0.0590
4.5100,-2.9800,-2.4634,4.9388,-0.8716,34.0537,-0.2839,0.1520,0.2539,-0.0832,0.1245,-2.7114,0.5104,4.8987,-0.0027,0.0001,-0.0002,-3.1603,-1.9373,3.8746,-1.5801,33.8725,-0.2500,-2.4574,0.5000,0.1111,-0.2256,-0.2475,0.0583
4.5200,-3.0047,-2.4645,4.9299,-0.8884,34.0508,-0.2823,0.1545,0.2505,-0.0820,0.1258,-2.7063,0.5103,4.9002,-0.0027,-0.0000,-0.0002,-3.1796,-1.9294,3.8588,-1.5898,33.8700,-0.2500,-2.4524,0.5000,0.1138,-0.2258,-0.2492,0.0576
4.5300,-3.0293,-2.4654,4.9209,-0.9054,34.0480,-0.2807,0.1570,0.2471,-0.0807,0.1270,-2.7012,0.5102,4.9017,-0.0028,-0.0001,-0.0002,-3.1989,-1.9214,3.8428,-1.5994,33.8675,-0.2500,-2.4474,0.5000,0.1164,-0.2260,-0.2508,0.0569
4.5400,-3.0540,-2.4659,4.9116,-0.9226,34.0452,-0.2792,0.1594,0.2436,-0.0794,0.1282,-2.6961,0.5101,4.9032,-0.0029,-0.0001,-0.0002,-3.2180,-1.9134,3.8268,-1.6090,33.8650,-0.2500,-2.4424,0.5000,0.1190,-0.2262,-0.2524,0.0563
4.5500,-3.0786,-2.4661,4.9022,-0.9400,34.0425,-0.2776,0.1618,0.2400,-0.0781,0.1292,-2.6910,0.5100,4.9048,-0.0029,-0.0002,-0.0002,-3.2371,-1.9053,3.8106,-1.6186,33.8625,-0.2500,-2.4374,0.5000,0.1215,-0.2264,-0.2539,0.0557
4.5600,-3.1033,-2.4660,4.8927,-0.9575,34.0397,-0.2761,0.1642,0.2364,-0.0768,0.1302,-2.6859,0.5099,4.9064,-0.0030,-0.0002,-0.0002,-3.2561,-1.8972,3.7944,-1.6281,33.8600,-0.2500,-2.4324,0.5000,0.1240,-0.2265,-0.2554,0.0552
4.5700,-3.1280,-2.4656,4.8829,-0.9752,34.0370,-0.2745,0.1665,0.2327,-0.0755,0.1311,-2.6808,0.5097,4.9080,-0.0030,-0.0003,-0.0002,-3.2751,-1.8890,3.7781,-1.6375,33.8575,-0.2500,-2.4274,0.5000,0.1264,-0.2266,-0.2568,0.0547
4.5800,-3.1526,-2.4649,4.8730,-0.9931,34.0342,-0.2730,0.1688,0.2289,-0.0742,0.1320,-2.6757,0.5096,4.9096,-0.0031,-0.0003,-0.0002,-3.2939,-1.8808,3.7617,-1.6470,33.8550,-0.2500,-2.4224,0.5000,0.1288,-0.2266,-0.2582,0.0542
4.5900,-3.1772,-2.4639,4.8629,-1.0110,34.0315,-0.2715,0.1711,0.2251,-0.0729,0.1328,-2.6706,0.5095,4.9112,-0.0031,-0.0004,-0.0002,-3.3127,-1.8726,3.7451,-1.6563,33.8525,-0.2500,-2.4174,0.5000,0.1311,-0.2266,-0.2595,0.0538
4.6000,-3.2019,-2.4626,4.8526,-1.0291,34.0288,-0.2699,0.1733,0.2213,-0.0715,0.1335,-2.6656,0.5094,4.9129,-0.0032,-0.0004,-0.0002,-3.3314,-1.8643,3.7285,-1.6657,33.8500,-0.2500,-2.4124,0.5000,0.1333,-0.2266,-0.2608,0.0534
4.6100,-3.2265,-2.4610,4.8421,-1.0474,34.0261,-0.2684,0.1755,0.2174,-0.0702,0.1341,-2.6605,0.5093,4.9145,-0.0032,-0.0005,-0.0002,-3.3500,-1.8559,3.7118,-1.6750,33.8475,-0.2500,-2.4074,0.5000,0.1355,-0.2266,-0.2620,0.0531
4.6200,-3.2511,-2.4591,4.8314,-1.0657,34.0235,-0.2669,0.1776,0.2134,-0.0688,0.1347,-2.6554,0.5092,4.9162,-0.0033,-0.0005,-0.0002,-3.3685,-1.8475,3.6950,-1.6842,33.8450,-0.2500,-2.4024,0.5000,0.1376,-0.2265,-0.2632,0.0527
4.6300,-3.2756,-2.4569,4.8206,-1.0842,34.0208,-0.2654,0.1797,0.2095,-0.0675,0.1352,-2.6503,0.5091,4.9178,-0.0033,-0.0006,-0.0002,-3.3869,-1.8391,3.6781,-1.6935,33.8425,-0.2500,-2.3974,0.5000,0.1397,-0.2264,-0.2643,0.0525
4.6400,-3.3002,-2.4543,4.8096,-1.1028,34.0182,-0.2638,0.1818,0.2054,-0.0661,0.1356,-2.6452,0.5090,4.9195,-0.0033,-0.0006,-0.0002,-3.4053,-1.8306,3.6612,-1.7026,33.8400,-0.2500,-2.3924,0.5000,0.1417,-0.2263,-0.2653,0.0522
4.6500,-3.3247,-2.4515,4.7984,-1.1215,34.0156,-0.2623,0.1838,0.2013,-0.0648,0.1360,-2.6401,0.5089,4.9212,-0.0034,-0.0007,-0.0002,-3.4235,-1.8220,3.6441,-1.7118,33.8375,-0.2500,-2.3874,0.5000,0.1437,-0.2262,-0.2663,0.0520
4.6600,-3.3492,-2.4483,4.7870,-1.1403,34.0129,-0.2608,0.1857,0.1972,-0.0634,0.1363,-2.6350,0.5088,4.9228,-0.0034,-0.0007,-0.0002,-3.4417,-1.8135,3.6269,-1.7209,33.8350,-0.2500,-2.3824,0.5000,0.1456,-0.2260,-0.2673,0.0518
4.6700,-3.3736,-2.4449,4.7754,-1.1591,34.0104,-0.2593,0.1877,0.1931,-0.0621,0.1365,-2.6299,0.5087,4.9245,-0.0034,-0.0008,-0.0002,-3.4598,-1.8048,3.6097,-1.7299,33.8325,-0.2500,-2.3774,0.5000,0.1474,-0.2258,-0.2682,0.0517
4.6800,-3.3980,-2.4411,4.7636,-1.1781,34.0078,-0.2578,0.1896,0.1889,-0.0607,0.1367,-2.6248,0.5086,4.9262,-0.0035,-0.0008,-0.0002,-3.4778,-1.7962,3.5923,-1.7389,33.8300,-0.2500,-2.3724,0.5000,0.1491,-0.2255,-0.2690,0.0516
4.6900,-3.4224,-2.4370,4.7516,-1.1971,34.0052,-0.2563,0.1914,0.1847,-0.0593,0.1368,-2.6198,0.5085,4.9278,-0.0035,-0.0008,-0.0002,-3.4957,-1.7874,3.5749,-1.7479,33.8275,-0.2500,-2.3674,0.5000,0.1509,-0.2253,-0.2698,0.0515
4.7000,-3.4467,-2.4327,4.7394,-1.2163,34.0027,-0.2549,0.1932,0.1805,-0.0579,0.1369,-2.6147,0.5084,4.9295,-0.0035,-0.0009,-0.0002,-3.5136,-1.7787,3.5574,-1.7568,33.8250,-0.2500,-2.3624,0.5000,0.1525,-0.2250,-0.2705,0.0515
4.7100,-3.4710,-2.4280,4.7271,-1.2355,34.0001,-0.2534,0.1950,0.1762,-0.0566,0.1369,-2.6096,0.5083,4.9312,-0.0036,-0.0009,-0.0002,-3.5313,-1.7699,3.5398,-1.7657,33.8225,-0.2500,-2.3574,0.5000,0.1541,-0.2247,-0.2712,0.0515
4.7200,-3.4952,-2.4230,4.7145,-1.2547,33.9976,-0.2519,0.1967,0.1719,-0.0552,0.1369,-2.6045,0.5082,4.9328,-0.0036,-0.0009,-0.0002,-3.5490,-1.7610,3.5221,-1.7745,33.8200,-0.2500,-2.3524,0.5000,0.1556,-0.2244,-0.2718,0.0515
4.7300,-3.5194,-2.4177,4.7018,-1.2740,33.9951,-0.2505,0.1984,0.1676,-0.0538,0.1368,-2.5994,0.5081,4.9345,-0.0036,-0.0010,-0.0002,-3.5665,-1.7521,3.5043,-1.7833,33.8175,-0.2500,-2.3474,0.5000,0.1571,-0.2240,-0.2724,0.0516
4.7400,-3.5435,-2.4121,4.6889,-1.2934,33.9926,-0.2490,0.2000,0.1633,-0.0525,0.1367,-2.5943,0.5080,4.9361,-0.0036,-0.0010,-0.0002,-3.5840,-1.7432,3.4864,-1.7920,33.8150,-0.2500,-2.3424,0.5000,0.1585,-0.2236,-0.2729,0.0517
4.7500,-3.5676,-2.4063,4.6757,-1.3128,33.9901,-0.2476,0.2016,0.1590,-0.0511,0.1365,-2.5893,0.5079,4.9378,-0.0036,-0.0010,-0.0002,-3.6014,-1.7342,3.4684,-1.8007,33.8125,-0.2500,-2.3374,0.5000,0.1598,-0.2232,-0.2734,0.0518
4.7600,-3.5916,-2.4001,4.6624,-1.3322,33.9877,-0.2461,0.2031,0.1546,-0.0497,0.1363,-2.5842,0.5078,4.9394,-0.0037,-0.0010,-0.0002,-3.6187,-1.7252,3.4504,-1.8093,33.8100,-0.2500,-2.3324,0.5000,0.1611,-0.2228,-0.2738,0.0520
4.7700,-3.6155,-2.3936,4.6489,-1.3517,33.9852,-0.2447,0.2046,0.1503,-0.0484,0.1360,-2.5791,0.5077,4.9410,-0.0037,-0.0011,-0.0002,-3.6359,-1.7161,3.4322,-1.8179,33.8075,-0.2500,-2.3274,0.5000,0.1624,-0.2223,-0.2741,0.0522
4.7800,-3.6394,-2.3869,4.6352,-1.3711,33.9828,-0.2433,0.2061,0.1459,-0.0470,0.1357,-2.5740,0.5077,4.9426,-0.0037,-0.0011,-0.0002,-3.6530,-1.7070,3.4140,-1.8265,33.8050,-0.2500,-2.3224,0.5000,0.1635,-0.2218,-0.2744,0.0524
4.7900,-3.6632,-2.3798,4.6213,-1.3907,33.9804,-0.2419,0.2075,0.1416,-0.0457,0.1353,-2.5690,0.5076,4.9442,-0.0037,-0.0011,-0.0002,-3.6700,-1.6979,3.3957,-1.8350,33.8025,-0.2500,-2.3174,0.5000,0.1647,-0.2213,-0.2746,0.0526
4.8000,-3.6869,-2.3725,4.6072,-1.4102,33.9780,-0.2404,0.2089,0.1372,-0.0443,0.1349,-2.5639,0.5075,4.9457,-0.0037,-0.0011,-0.0002,-3.6870,-1.6887,3.3773,-1.8435,33.8000,-0.2500,-2.3124,0.5000,0.1657,-0.2208,-0.2748,0.0529
4.8100,-3.7106,-2.3649,4.5929,-1.4297,33.9756,-0.2390,0.2102,0.1328,-0.0430,0.1345,-2.5588,0.5074,4.9473,-0.0037,-0.0011,-0.0002,-3.7038,-1.6794,3.3588,-1.8519,33.7975,-0.2500,-2.3074,0.5000,0.1667,-0.2203,-0.2749,0.0532
4.8200,-3.7342,-2.3570,4.5784,-1.4492,33.9732,-0.2377,0.2115,0.1284,-0.0416,0.1340,-2.5537,0.5073,4.9488,-0.0037,-0.0012,-0.0002,-3.7206,-1.6701,3.3403,-1.8603,33.7950,-0.2500,-2.3024,0.5000,0.1677,-0.2197,-0.2750,0.0535
4.8300,-3.7576,-2.3488,4.5637,-1.4688,33.9708,-0.2363,0.2127,0.1240,-0.0403,0.1334,-2.5487,0.5072,4.9503,-0.0037,-0.0012,-0.0002,-3.7372,-1.6608,3.3216,-1.8686,33.7925,-0.2500,-2.2974,0.5000,0.1686,-0.2191,-0.2750,0.0539
4.8400,-3.7810,-2.3404,4.5488,-1.4883,33.9685,-0.2349,0.2139,0.1197,-0.0390,0.1329,-2.5436,0.5071,4.9518,-0.0037,-0.0012,-0.0002,-3.7538,-1.6515,3.3029,-1.8769,33.7900,-0.2500,-2.2924,0.5000,0.1694,-0.2186,-0.2750,0.0543
4.8500,-3.8044,-2.3317,4.5337,-1.5078,33.9662,-0.2335,0.2151,0.1153,-0.0377,0.1323,-2.5385,0.5071,4.9533,-0.0037,-0.0012,-0.0002,-3.7702,-1.6420,3.2841,-1.8851,33.7875,-0.2500,-2.2874,0.5000,0.1702,-0.2179,-0.2749,0.0546
4.8600,-3.8276,-2.3227,4.5185,-1.5273,33.9638,-0.2322,0.2162,0.1109,-0.0363,0.1316,-2.5334,0.5070,4.9547,-0.0037,-0.0012,-0.0002,-3.7866,-1.6326,3.2652,-1.8933,33.7850,-0.2500,-2.2824,0.5000,0.1709,-0.2173,-0.2748,0.0551
4.8700,-3.8507,-2.3134,4.5030,-1.5467,33.9615,-0.2308,0.2173,0.1066,-0.0350,0.1310,-2.5284,0.5069,4.9562,-0.0037,-0.0012,-0.0002,-3.8029,-1.6231,3.2462,-1.9014,33.7825,-0.2500,-2.2774,0.5000,0.1716,-0.2167,-0.2746,0.0555
4.8800,-3.8738,-2.3039,4.4873,-1.5662,33.9592,-0.2295,0.2183,0.1023,-0.0337,0.1303,-2.5233,0.5068,4.9576,-0.0037,-0.0012,-0.0002,-3.8191,-1.6136,3.2272,-1.9095,33.7800,-0.2500,-2.2724,0.5000,0.1722,-0.2160,-0.2743,0.0560
4.8900,-3.8967,-2.2941,4.4715,-1.5856,33.9570,-0.2282,0.2193,0.0979,-0.0324,0.1295,-2.5182,0.5067,4.9589,-0.0037,-0.0012,-0.0002,-3.8352,-1.6040,3.2080,-1.9176,33.7775,-0.2500,-2.2674,0.5000,0.1727,-0.2153,-0.2741,0.0565
4.9000,-3.9195,-2.2840,4.4554,-1.6049,33.9547,-0.2268,0.2202,0.0936,-0.0311,0.1288,-2.5132,0.5067,4.9603,-0.0036,-0.0013,-0.0002,-3.8512,-1.5944,3.1888,-1.9256,33.7750,-0.2500,-2.2624,0.5000,0.1732,-0.2146,-0.2737,0.0570
